"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1990","1990","PC","Percentage","0","Units",,,5.397956,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1991","1991","PC","Percentage","0","Units",,,4.234964,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1992","1992","PC","Percentage","0","Units",,,3.02882,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.951657,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.607442,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.80542,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.931204,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.33769,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,1.552279,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.188027,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.376857,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.826171,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.586032,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.270095,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.677237,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.392747,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.225944,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.852673,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.8391,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.3555463,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.640043,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.156842,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.069337,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.464833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.622223,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.1186271,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.261583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.13011,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.442583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.81221,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.233584,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.697859,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1990","1990","PC","Percentage","0","Units",,,7.333022,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1991","1991","PC","Percentage","0","Units",,,3.176675,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1992","1992","PC","Percentage","0","Units",,,1.012231,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,1.753653,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,1.969635,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,4.627767,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.615385,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,0.2248875,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.8601346,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.483129,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.457435,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.407135,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.981575,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.732596,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.343255,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.691832,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.555288,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.327611,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.350298,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.771117,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.91834,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.30385,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.76278,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.449889,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.487923,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.508367,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.276991,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.948647,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.911401,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.610768,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.8469055,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.86391,,
